County,Census_2020_Population,Forecast_2045_Population
Androscoggin,111139,116772
Aroostook,67105,66665
Cumberland,303069,342490
Franklin,29456,30231
Hancock,55478,56164
Kennebec,123642,130389
Knox,40607,41286
Lincoln,35237,36664
Oxford,57777,61480
Penobscot,152199,153170
Piscataquis,16800,16788
Sagadahoc,36699,37961
Somerset,50477,51575
Waldo,39607,42930
Washington,31095,31037
York,211972,230598
